STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,no2,pm2_5,rspm,so2,spm
1862,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,29.5,5.9,7.6,36593,3.9,0.07,1200,3200,2011,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1865,DHADAR AT KOTHADA,GUJARAT,27,7.6,7.7,1291,10,0.34,23,77,2011,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1148,AMBIKA AT BILIMORA,GUJARAT,29.5,6,7.7,18865,3.6,3.12,900,2450,2011,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD",GUJARAT,27,4.3,8.4,605,6.5,1.68,5,15,2011,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1149,KOLAK AT PATALIA BDG.,GUJARAT,26.7,3.7,8.2,600,4.3,1.66,6,20,2011,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1438,MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,GUJARAT,27,4.6,7.2,729,4,0.33,900,2300,2011,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
2082,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",GUJARAT,26.8,6.2,8.4,2670,1.3,0.24,NAN,NAN,2011,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,26,5.1,8.1,533,3.7,0.45,3900,7500,2010,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1861,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,27,7.1,8,555,2,0.35,7500,15000,2010,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1862,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,27,6.8,8.2,26600,3.1,0.62,9000,23000,2010,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1865,RIVER DHADAR AT KOTHADA,GUJARAT,29.3,8.1,7.6,938,8.6,0.4,22,108,2010,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1148,"AMBIKA AT BILIMORA, ",GUJARAT,28.4,6.2,7.8,7778,2.7,0.26,2880,6581,2010,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1434,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,",GUJARAT,32,NAN,7.2,1440,46,0.2,80,330,2010,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, ",GUJARAT,28.3,3.2,7.7,885,6.3,0.51,3900,9575,2010,24.06563082791655,30.72969596001666,98.24450975251993,16.656342662515573,191.56792981951537
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,22,7.3,7.3,402,2.1,0,4,32,2013,18.639596257917606,65.06456453558503,114.71796748448442,11.587409816093286,210.06754514439794
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,23,7.3,7.4,388,2.1,0.58, ,46,2012,18.639596257917606,65.06456453558503,114.71796748448442,11.587409816093286,210.06754514439794
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMIL NADU,28.4,6.3,7.6,830,1.8,0.24,738,2020,2011,21.601201975202695,29.55044052863436,66.58563750532089,11.31513417227861,126.72906435803989
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMIL NADU,24,7.4,7.6,104,1.2,0.09,NAN,NAN,2011,21.601201975202695,29.55044052863436,66.58563750532089,11.31513417227861,126.72906435803989
